,address,areas,backyard,bathrooms,bedrooms,category,floor_if_condo,municipal,postalcode,price,year
212,"4930 rue Bélanger, Rosemont / La Petite Patrie, QC",800 ft² (74.32 m²),,1.0,2.0,Condominium,,177600.0,H1T 1C6,210000,1998
213,"308-6900 boulevard Gouin Est, Montréal-Nord, QC",1 300 ft² (120.77 m²),South-West,1.5,3.0,Condominium,3.0,285600.0,H1G 6L9,269900,1982
214,"406-926 avenue Sainte-Croix, Saint-Laurent, QC",584.48 ft² (54.30 m²),,1.5,1.0,Condominium,4.0,,H4L 3Y6,224800,2009
215,"4291 rue Ernest Gendreau, Rosemont / La Petite Patrie, QC",1 045 ft² (97.08 m²),East,1.0,2.0,Condominium,,,H1X 3M5,309000,1989
216,"102-69 rue Berlioz, L'Ile Des Soeurs, QC",1 200 ft² (111.48 m²),,1.0,2.0,Condominium,1.0,,H3E 1N8,390000,1988
217,"1-10 avenue Marsolais, Outremont, QC",1 388 ft² (128.95 m²),South-East,2.0,3.0,Condominium,1.0,1444500.0,H2V 1N2,624000,1921
218,"306-205 boulevard Henri-Bourassa Ouest, Ahuntsic / Cartierville, QC",1 179 ft² (109.53 m²),,1.5,2.0,Condominium,3.0,,H3L 1N4,339000,2010
219,"201-12590 rue Sherbrooke Est, Pointe-Aux-Trembles / Montréal-Est, QC",800 ft² (74.32 m²),North-East,1.0,1.0,Condominium,1.0,173100.0,H1B 1C9,175000,2007
220,"3452 rue Hochelaga, Mercier / Hochelaga / Maisonneuve, QC",690 ft² (64.10 m²),South-East,1.0,2.0,Condominium,3.0,,H1W 1H5,239000,1928
221,"201-400 avenue Hearne, Pointe-Claire, QC",775 ft² (72.00 m²),,1.0,2.0,Condominium,2.0,,H9R 1K3,265000,2012
